incidencia_id;viaje_id;vehiculo_id;conductor_id;linea_id;fecha;anno;mes;hora_incidencia;tipo_incidencia;categoria;severidad;requiere_retirada;duracion_resolucion_dias;vehiculo_sustituto;coste_estimado_eur
1;33554;39;11;4;01/06/2022;2022;6;19:11:00;Huelga parcial;Operacional;Alta;VERDADERO;60;FALSO;0
2;9428;21;21;6;16/02/2023;2023;2;20:42:00;Fallo electrico;Vehiculo;Alta;VERDADERO;62;FALSO;57551
3;200;33;5;8;20/01/2022;2022;1;6:21:00;Accidente leve;Seguridad;Alta;VERDADERO;29;VERDADERO;33180
4;12448;17;17;10;16/01/2023;2023;1;2:30:00;Vandalismo;Seguridad;Media;FALSO;16;FALSO;65199
5;39490;11;11;6;08/01/2023;2023;1;14:51:00;Retencion trafico;Externo;Baja;FALSO;14;FALSO;4988
6;42725;12;26;6;02/07/2024;2024;7;17:48:00;Pasajero enfermo;Servicio;Media;FALSO;19;FALSO;4915
7;10823;30;16;7;01/03/2024;2024;3;16:00:00;Vandalismo;Seguridad;Media;FALSO;5;FALSO;79483
8;49499;24;24;5;03/03/2023;2023;3;22:20:00;Obras calzada;Externo;Media;FALSO;5;FALSO;0
9;4145;30;2;5;02/05/2024;2024;5;20:30:00;Huelga parcial;Operacional;Alta;VERDADERO;85;VERDADERO;0
10;36959;42;28;6;09/08/2023;2023;8;18:25:00;Pasajero enfermo;Servicio;Media;FALSO;20;FALSO;2245
11;43107;16;16;5;19/09/2023;2023;9;11:21:00;Accidente leve;Seguridad;Alta;VERDADERO;9;VERDADERO;390861
12;38696;15;1;8;24/07/2023;2023;7;16:41:00;Vandalismo;Seguridad;Media;FALSO;8;FALSO;5649
13;6189;16;2;1;11/02/2022;2022;2;15:00:00;Retencion trafico;Externo;Baja;FALSO;12;FALSO;2007
14;1415;30;16;7;30/05/2024;2024;5;20:23:00;Accidente grave;Seguridad;Critica;VERDADERO;11;VERDADERO;1224712
15;18472;35;21;1;03/05/2022;2022;5;10:11:00;Fallo climatizacion;Vehiculo;Baja;FALSO;5;FALSO;12852
16;29283;10;24;5;29/06/2023;2023;6;9:30:00;Fallo climatizacion;Vehiculo;Baja;FALSO;5;FALSO;13444
17;15178;17;3;6;05/03/2024;2024;3;19:53:00;Pinchazo;Vehiculo;Media;VERDADERO;24;VERDADERO;11368
18;34305;34;6;3;20/10/2024;2024;10;17:40:00;Vandalismo;Seguridad;Media;FALSO;7;FALSO;54769
19;12610;11;11;7;14/10/2023;2023;10;11:50:00;Averia mecanica;Vehiculo;Alta;VERDADERO;5;FALSO;275339
20;12145;8;22;1;09/01/2022;2022;1;18:44:00;Pinchazo;Vehiculo;Media;VERDADERO;21;FALSO;13111
21;6114;25;11;9;04/09/2023;2023;9;21:31:00;Fallo electrico;Vehiculo;Alta;VERDADERO;95;VERDADERO;9938
22;15909;34;6;5;13/05/2022;2022;5;11:00:00;Retencion trafico;Externo;Baja;FALSO;34;FALSO;4447
23;822;25;11;7;06/01/2023;2023;1;11:58:00;Obras calzada;Externo;Media;FALSO;5;FALSO;0
24;15119;42;28;5;22/04/2024;2024;4;17:11:00;Huelga parcial;Operacional;Alta;VERDADERO;100;VERDADERO;0
25;13467;28;28;4;03/09/2022;2022;9;12:00:00;Retencion trafico;Externo;Baja;FALSO;20;FALSO;271
26;26498;39;11;7;18/04/2024;2024;4;7:34:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;8172
27;42112;29;1;1;24/11/2023;2023;11;8:48:00;Obras calzada;Externo;Media;FALSO;27;FALSO;0
28;30189;34;6;10;08/05/2023;2023;5;0:32:00;Accidente leve;Seguridad;Alta;VERDADERO;87;VERDADERO;208282
29;37238;27;27;4;15/12/2024;2024;12;14:51:00;Retencion trafico;Externo;Baja;FALSO;14;FALSO;464
30;33110;15;15;1;31/08/2024;2024;8;10:31:00;Vandalismo;Seguridad;Media;FALSO;39;FALSO;19323
31;36481;26;26;6;30/09/2023;2023;9;6:04:00;Obras calzada;Externo;Media;FALSO;7;FALSO;0
32;24149;42;14;6;02/03/2024;2024;3;18:17:00;Fallo electrico;Vehiculo;Alta;VERDADERO;25;VERDADERO;6098
33;5504;3;17;7;28/11/2022;2022;11;18:05:00;Accidente leve;Seguridad;Alta;VERDADERO;21;VERDADERO;217336
34;3919;14;28;5;02/11/2024;2024;11;13:34:00;Accidente leve;Seguridad;Alta;VERDADERO;47;FALSO;12042
35;38479;8;8;4;10/05/2024;2024;5;12:53:00;Fallo climatizacion;Vehiculo;Baja;FALSO;47;FALSO;2407
36;21124;41;13;3;11/01/2023;2023;1;7:05:00;Vandalismo;Seguridad;Media;FALSO;5;FALSO;34599
37;49718;33;19;5;26/08/2023;2023;8;6:29:00;Huelga parcial;Operacional;Alta;VERDADERO;13;VERDADERO;0
38;42295;2;16;9;12/11/2023;2023;11;20:28:00;Accidente leve;Seguridad;Alta;VERDADERO;5;VERDADERO;281835
39;47610;25;11;5;05/02/2023;2023;2;20:33:00;Obras calzada;Externo;Media;FALSO;9;FALSO;0
40;11077;32;18;6;07/01/2024;2024;1;14:14:00;Accidente leve;Seguridad;Alta;VERDADERO;5;VERDADERO;360716
41;41515;20;20;8;10/11/2024;2024;11;10:22:00;Accidente leve;Seguridad;Alta;VERDADERO;11;FALSO;227926
42;22063;14;28;1;23/12/2024;2024;12;10:52:00;Pinchazo;Vehiculo;Media;VERDADERO;6;VERDADERO;35567
43;9414;7;7;6;15/12/2024;2024;12;12:33:00;Averia mecanica;Vehiculo;Alta;VERDADERO;9;VERDADERO;115747
44;38341;38;10;1;05/01/2023;2023;1;7:40:00;Huelga parcial;Operacional;Alta;VERDADERO;6;VERDADERO;0
45;30264;25;25;7;30/01/2023;2023;1;7:01:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;6071
46;41253;10;10;6;11/09/2023;2023;9;20:06:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;6095
47;14645;30;2;5;24/03/2022;2022;3;10:10:00;Retencion trafico;Externo;Baja;FALSO;9;FALSO;633
48;26336;3;17;5;16/09/2024;2024;9;11:54:00;Accidente grave;Seguridad;Critica;VERDADERO;9;VERDADERO;1462286
49;28103;6;20;5;19/01/2022;2022;1;20:35:00;Averia mecanica;Vehiculo;Alta;VERDADERO;134;VERDADERO;175365
50;17524;11;25;10;16/09/2024;2024;9;22:10:00;Fallo climatizacion;Vehiculo;Baja;FALSO;13;FALSO;28158
51;24713;18;18;5;16/06/2022;2022;6;8:51:00;Fallo electrico;Vehiculo;Alta;VERDADERO;49;VERDADERO;96795
52;40486;41;27;7;29/05/2024;2024;5;10:12:00;Obras calzada;Externo;Media;FALSO;27;FALSO;0
53;3851;30;16;9;10/01/2023;2023;1;22:39:00;Accidente grave;Seguridad;Critica;VERDADERO;52;FALSO;695768
54;40041;16;2;4;11/08/2022;2022;8;16:01:00;Obras calzada;Externo;Media;FALSO;23;FALSO;0
55;15268;23;9;2;05/11/2022;2022;11;12:51:00;Condiciones meteo;Externo;Media;FALSO;13;FALSO;0
56;49147;8;8;10;24/06/2024;2024;6;22:14:00;Obras calzada;Externo;Media;FALSO;33;FALSO;0
57;30002;15;15;9;17/02/2022;2022;2;19:10:00;Pinchazo;Vehiculo;Media;VERDADERO;21;FALSO;32577
58;45927;22;8;2;05/08/2023;2023;8;17:17:00;Huelga parcial;Operacional;Alta;VERDADERO;66;VERDADERO;0
59;43825;20;6;2;03/09/2022;2022;9;20:07:00;Averia mecanica;Vehiculo;Alta;VERDADERO;79;VERDADERO;156336
60;17241;22;22;8;17/08/2022;2022;8;7:24:00;Accidente grave;Seguridad;Critica;VERDADERO;5;FALSO;333186
61;4893;22;22;8;25/08/2023;2023;8;8:14:00;Pinchazo;Vehiculo;Media;VERDADERO;16;VERDADERO;22675
62;726;13;27;5;16/09/2022;2022;9;20:45:00;Fallo electrico;Vehiculo;Alta;VERDADERO;92;VERDADERO;192827
63;22950;19;19;3;14/04/2022;2022;4;15:40:00;Accidente leve;Seguridad;Alta;VERDADERO;50;VERDADERO;15484
64;34658;9;23;1;19/10/2024;2024;10;18:52:00;Pinchazo;Vehiculo;Media;VERDADERO;5;VERDADERO;12163
65;37214;3;3;2;16/04/2024;2024;4;18:13:00;Retencion trafico;Externo;Baja;FALSO;41;FALSO;3564
66;20305;20;6;9;06/06/2023;2023;6;8:39:00;Retencion trafico;Externo;Baja;FALSO;52;FALSO;472
67;15270;25;11;6;13/05/2024;2024;5;15:52:00;Condiciones meteo;Externo;Media;FALSO;5;FALSO;0
68;22368;25;25;8;25/10/2023;2023;10;20:36:00;Accidente leve;Seguridad;Alta;VERDADERO;34;VERDADERO;191781
69;42685;14;14;3;10/05/2023;2023;5;7:46:00;Fallo climatizacion;Vehiculo;Baja;FALSO;15;FALSO;27314
70;46735;32;4;8;06/05/2023;2023;5;10:34:00;Obras calzada;Externo;Media;FALSO;5;FALSO;0
71;11733;16;2;2;02/11/2023;2023;11;12:25:00;Fallo electrico;Vehiculo;Alta;VERDADERO;37;FALSO;195035
72;18620;15;1;10;21/03/2024;2024;3;23:03:00;Vandalismo;Seguridad;Media;FALSO;5;FALSO;14476
73;48493;26;26;4;16/12/2022;2022;12;13:34:00;Accidente grave;Seguridad;Critica;VERDADERO;63;VERDADERO;1463061
74;26804;9;9;3;15/10/2023;2023;10;10:47:00;Accidente grave;Seguridad;Critica;VERDADERO;5;FALSO;1027498
75;44306;39;11;7;16/08/2023;2023;8;7:48:00;Pinchazo;Vehiculo;Media;VERDADERO;63;VERDADERO;20702
76;47523;22;8;5;29/09/2024;2024;9;16:33:00;Fallo climatizacion;Vehiculo;Baja;FALSO;5;FALSO;26321
77;32208;37;9;4;28/09/2023;2023;9;6:30:00;Fallo climatizacion;Vehiculo;Baja;FALSO;15;FALSO;7281
78;2531;12;12;1;27/12/2024;2024;12;19:25:00;Obras calzada;Externo;Media;FALSO;5;FALSO;0
79;17747;24;24;2;10/11/2024;2024;11;7:00:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;7296
80;8271;40;12;8;10/10/2023;2023;10;22:31:00;Condiciones meteo;Externo;Media;FALSO;36;FALSO;0
81;15080;3;17;7;10/02/2024;2024;2;10:31:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;5801
